dataset,column,dtype,missing_n,missing_pct,unique_n
mobility_daily,pandemic_period,object,0,0.0,1
mobility_daily,parks_percent_change_from_baseline,float64,0,0.0,275
mobility_daily,quarter,int64,0,0.0,4
mobility_daily,residential_percent_change_from_baseline,float64,0,0.0,43
mobility_daily,retail_and_recreation_percent_change_from_baseline,float64,0,0.0,133
mobility_daily,transit_stations_percent_change_from_baseline,float64,0,0.0,118
mobility_daily,week_start,datetime64[ns],0,0.0,140
mobility_weekly,grocery_and_pharmacy_percent_change_from_baseline,float64,0,0.0,199
mobility_weekly,iso_code,object,0,0.0,2
mobility_weekly,iso_week,int64,0,0.0,53
mobility_weekly,location,object,0,0.0,2
mobility_weekly,location_type,object,0,0.0,2
mobility_weekly,mobility_restriction_index,float64,0,0.0,257
mobility_weekly,month,int64,0,0.0,12
mobility_weekly,pandemic_period,object,0,0.0,1
mobility_weekly,parks_percent_change_from_baseline,float64,0,0.0,249
mobility_weekly,quarter,int64,0,0.0,4
mobility_weekly,residential_percent_change_from_baseline,float64,0,0.0,133
mobility_weekly,retail_and_recreation_percent_change_from_baseline,float64,0,0.0,223
mobility_weekly,transit_stations_percent_change_from_baseline,float64,0,0.0,219
mobility_weekly,week_start,datetime64[ns],0,0.0,140
mobility_weekly,workplaces_percent_change_from_baseline,float64,0,0.0,198
ons_monthly,unemployment_percent,float64,3,4.411764705882353,14
ons_monthly,house_price_annual_change_percent,float64,2,2.941176470588235,50
ons_monthly,house_price_average_value,float64,2,2.941176470588235,50
ons_monthly,production_monthly_change_percent,float64,1,1.4705882352941175,31
ons_monthly,cpih_12mo_change_percent,float64,0,0.0,29
ons_monthly,date,datetime64[ns],0,0.0,52
ons_monthly,iso_code,object,0,0.0,1
ons_monthly,location,object,0,0.0,1
ons_monthly,location_type,object,0,0.0,1
ons_monthly,month,int64,0,0.0,12
ons_monthly,month_label,object,0,0.0,52
ons_monthly,pandemic_period,object,0,0.0,1
ons_monthly,year,int64,0,0.0,5
ons_quarterly,household_income_quarterly_change_percent,float64,1,5.88235294117647,16
ons_quarterly,household_income_value,float64,1,5.88235294117647,16
ons_quarterly,date,datetime64[ns],0,0.0,17
ons_quarterly,gdp_quarterly_change_percent,float64,0,0.0,15
ons_quarterly,household_spending_quarterly_change_percent,float64,0,0.0,17
ons_quarterly,household_spending_value,float64,0,0.0,17
ons_quarterly,iso_code,object,0,0.0,1
ons_quarterly,location,object,0,0.0,1
ons_quarterly,location_type,object,0,0.0,1
ons_quarterly,pandemic_period,object,0,0.0,1
ons_quarterly,quarter,int64,0,0.0,4
ons_quarterly,quarter_label,object,0,0.0,17
ons_quarterly,year,int64,0,0.0,5
ukhsa_daily,ukhsa_covid_deaths_weekly,float64,2013,87.82722513089006,232
ukhsa_daily,ukhsa_hospital_admissions_daily,float64,195,8.507853403141361,1028
ukhsa_daily,ukhsa_occupied_beds_daily,float64,193,8.420593368237347,1816
ukhsa_daily,country_reference,object,0,0.0,1
ukhsa_daily,date,datetime64[ns],0,0.0,2292
ukhsa_daily,iso_code,object,0,0.0,1
ukhsa_daily,iso_week,int64,0,0.0,53
ukhsa_daily,location,object,0,0.0,1
ukhsa_daily,location_type,object,0,0.0,1
ukhsa_daily,month,int64,0,0.0,12
ukhsa_daily,pandemic_period,object,0,0.0,2
ukhsa_daily,quarter,int64,0,0.0,4
ukhsa_daily,ukhsa_pcr_positivity_7d,float64,0,0.0,1219
ukhsa_daily,ukhsa_pcr_tests_daily,float64,0,0.0,2260
ukhsa_daily,week_start,datetime64[ns],0,0.0,329
ukhsa_weekly,ukhsa_covid_deaths_weekly,float64,50,15.19756838905775,232
ukhsa_weekly,ukhsa_hospital_admissions_weekly_sum,float64,28,8.51063829787234,295
ukhsa_weekly,ukhsa_occupied_beds_weekly_avg,float64,28,8.51063829787234,299
ukhsa_weekly,country_reference,object,0,0.0,1
ukhsa_weekly,iso_code,object,0,0.0,1
ukhsa_weekly,iso_week,int64,0,0.0,53
ukhsa_weekly,location,object,0,0.0,1
ukhsa_weekly,location_type,object,0,0.0,1
ukhsa_weekly,month,int64,0,0.0,12
ukhsa_weekly,pandemic_period,object,0,0.0,2
ukhsa_weekly,quarter,int64,0,0.0,4
ukhsa_weekly,ukhsa_pcr_positivity_weekly_avg,float64,0,0.0,323
ukhsa_weekly,ukhsa_pcr_tests_weekly_sum,float64,0,0.0,329
ukhsa_weekly,week_start,datetime64[ns],0,0.0,329
ukhsa_weekly,year,int64,0,0.0,7
variants_weekly,country_reference,object,0,0.0,1
variants_weekly,date,datetime64[ns],0,0.0,170
variants_weekly,iso_code,object,0,0.0,1
variants_weekly,iso_week,int64,0,0.0,52
variants_weekly,location,object,0,0.0,1
variants_weekly,location_type,object,0,0.0,1
variants_weekly,month,int64,0,0.0,12
variants_weekly,pandemic_period,object,0,0.0,2
variants_weekly,quarter,int64,0,0.0,4
variants_weekly,variant,object,0,0.0,11
variants_weekly,variant_percent,float64,0,0.0,534
variants_weekly,week_start,datetime64[ns],0,0.0,170
variants_weekly,year,int64,0,0.0,4
